name,serving_size,calories,total_fat,saturated_fat,cholesterol_mg,carbohydrate,fiber,sugars,keywords
Cornstarch,100,381,0.1,0,0,91.27,0.9,0.00,['Cornstarch']
"Nuts, pecans",100,691,72,6.2,0,13.86,9.6,3.97,"['Nuts', 'Pecans']"
"Eggplant, raw",100,25,0.2,0,0,5.88,3.0,3.53,"['Eggplant', 'Raw']"
"Teff, uncooked",100,367,2.4,0.4,0,73.13,8.0,1.84,"['Teff', 'Uncooked']"
"Sherbet, orange",100,144,2,1.2,1,30.40,1.3,24.32,"['Sherbet', 'Orange']"
"Cauliflower, raw",100,25,0.3,0.1,0,4.97,2.0,1.91,"['Cauliflower', 'Raw']"
"Taro leaves, raw",100,42,0.7,0.2,0,6.70,3.7,3.01,"['Taro Leaves', 'Raw']"
"Lamb, raw, ground",100,282,23,10,73,0.00,0.0,0.00,"['Lamb', 'Raw', 'Ground']"
"Cheese, camembert",100,300,24,15,72,0.46,0.0,0.46,"['Cheese', 'Camembert']"
Vegetarian fillets,100,290,18,2.8,0,9.00,6.1,0.80,['Vegetarian Fillets']
"PACE, Picante Sauce",100,25,0,0,0,6.25,3.1,6.25,"['Pace', 'Picante Sauce']"
"Goji berries, dried",100,349,0.4,0,0,77.06,13.0,45.61,"['Goji Berries', 'Dried']"
"Mango nectar, canned",100,51,0.1,0,0,13.12,0.3,12.45,"['Mango Nectar', 'Canned']"
"Crackers, rusk toast",100,407,7.2,1.4,78,72.30,0,0,"['Crackers', 'Rusk Toast']"
"Chicken, boiled, feet",100,215,15,3.9,84,0.20,0.0,0.00,"['Chicken', 'Boiled', 'Feet']"
"Quail, raw, meat only",100,134,4.5,1.3,70,0.00,0.0,0,"['Quail', 'Raw', 'Meat Only']"
"Pie, lemon, fried pies",100,316,16,2.5,0,42.60,2.6,0,"['Pie', 'Lemon', 'Fried Pies']"
"Peppers, raw, jalapeno",100,29,0.4,0.1,0,6.50,2.8,4.12,"['Peppers', 'Raw', 'Jalapeno']"
